timestamp,station_id,anomaly_type,description
2026-08-28T18:36:06.665279,AWS_009,frozen_value,Values frozen
2026-08-28T18:36:06.676484,AWS_013,drift,Temperature drifted by 0.10
2026-08-28T18:36:11.705707,AWS_003,drift,Temperature drifted by 0.87
2026-08-28T18:36:11.756477,AWS_006,drift,Temperature drifted by 3.46
2026-08-28T18:36:11.835124,AWS_009,frozen_value,Values frozen
2026-08-28T18:36:11.928753,AWS_013,drift,Temperature drifted by 0.21
2026-08-28T18:36:17.024130,AWS_003,drift,Temperature drifted by 1.21
2026-08-28T18:36:17.063840,AWS_006,drift,Temperature drifted by 3.92
2026-08-28T18:36:17.095409,AWS_009,frozen_value,Values frozen
2026-08-28T18:36:17.127596,AWS_013,drift,Temperature drifted by 0.60
2026-08-28T18:36:22.143886,AWS_003,drift,Temperature drifted by 1.43
2026-08-28T18:36:22.145864,AWS_013,drift,Temperature drifted by 0.86
2026-08-28T18:36:27.148372,AWS_003,drift,Temperature drifted by 1.86
2026-08-28T18:36:27.149119,AWS_004,dropout,Reading dropped
2026-08-28T18:36:27.151077,AWS_013,drift,Temperature drifted by 1.13
2026-08-28T18:36:32.153139,AWS_002,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T18:36:32.154803,AWS_003,drift,Temperature drifted by 2.32
2026-08-28T18:36:32.158087,AWS_013,drift,Temperature drifted by 1.57
2026-08-28T18:36:37.160971,AWS_003,drift,Temperature drifted by 2.46
2026-08-28T18:36:37.164605,AWS_013,drift,Temperature drifted by 1.73
2026-08-28T18:36:42.167097,AWS_003,drift,Temperature drifted by 2.80
2026-08-28T18:36:42.169490,AWS_013,drift,Temperature drifted by 2.05
2026-08-28T18:59:04.441225,AWS_006,dropout,Reading dropped
2026-08-28T18:59:09.603017,AWS_006,dropout,Reading dropped
2026-08-28T18:59:14.814413,AWS_006,dropout,Reading dropped
2026-08-28T18:59:19.838869,AWS_013,spike,temperature spiked by -20.16
2026-08-28T18:59:19.840301,AWS_014,dropout,Reading dropped
2026-08-28T18:59:45.210899,AWS_012,frozen_value,Values frozen
2026-08-28T18:59:45.224545,AWS_015,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T18:59:50.255787,AWS_003,spatial_outlier,Deviating from spatial trend
2026-08-28T18:59:50.291735,AWS_012,frozen_value,Values frozen
2026-08-28T18:59:55.436648,AWS_012,frozen_value,Values frozen
2026-08-28T18:59:55.439948,AWS_013,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:00:00.448820,AWS_004,drift,Temperature drifted by 0.20
2026-08-28T19:00:00.451377,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:00.462310,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:05.473710,AWS_004,drift,Temperature drifted by 0.35
2026-08-28T19:00:05.476121,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:05.482539,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:10.491883,AWS_004,drift,Temperature drifted by 0.52
2026-08-28T19:00:10.492626,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:10.494191,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:15.498647,AWS_001,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:00:15.537986,AWS_004,drift,Temperature drifted by 0.78
2026-08-28T19:00:15.544601,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:15.661259,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:15.674864,AWS_013,dropout,Reading dropped
2026-08-28T19:00:20.699340,AWS_004,drift,Temperature drifted by 0.91
2026-08-28T19:00:20.709021,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:20.741148,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:25.865303,AWS_004,drift,Temperature drifted by 1.20
2026-08-28T19:00:25.878474,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:25.914408,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:30.974635,AWS_004,drift,Temperature drifted by 1.55
2026-08-28T19:00:30.986930,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:31.063630,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:31.068384,AWS_013,spatial_outlier,Deviating from spatial trend
2026-08-28T19:00:31.074066,AWS_015,drift,Temperature drifted by 0.21
2026-08-28T19:00:36.082078,AWS_004,drift,Temperature drifted by 1.70
2026-08-28T19:00:36.085839,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:36.094896,AWS_007,spatial_outlier,Deviating from spatial trend
2026-08-28T19:00:36.101053,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:36.104631,AWS_015,drift,Temperature drifted by 0.68
2026-08-28T19:00:41.116232,AWS_004,drift,Temperature drifted by 2.20
2026-08-28T19:00:41.128633,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:41.146595,AWS_007,spike,temperature spiked by 18.90
2026-08-28T19:00:41.177021,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:41.204783,AWS_014,frozen_value,Values frozen
2026-08-28T19:00:41.228551,AWS_015,drift,Temperature drifted by 0.87
2026-08-28T19:00:46.274553,AWS_003,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:00:46.284700,AWS_004,drift,Temperature drifted by 2.63
2026-08-28T19:00:46.290713,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:46.369949,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:46.397119,AWS_013,drift,Temperature drifted by 0.24
2026-08-28T19:00:46.406771,AWS_014,frozen_value,Values frozen
2026-08-28T19:00:46.416646,AWS_015,drift,Temperature drifted by 1.07
2026-08-28T19:00:51.445318,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:51.485176,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:51.487532,AWS_013,drift,Temperature drifted by 0.63
2026-08-28T19:00:51.490757,AWS_014,frozen_value,Values frozen
2026-08-28T19:00:51.495065,AWS_015,drift,Temperature drifted by 1.48
2026-08-28T19:00:56.518094,AWS_005,frozen_value,Values frozen
2026-08-28T19:00:56.541446,AWS_010,dropout,Reading dropped
2026-08-28T19:00:56.563927,AWS_012,frozen_value,Values frozen
2026-08-28T19:00:56.572051,AWS_013,drift,Temperature drifted by 0.93
2026-08-28T19:00:56.583526,AWS_014,frozen_value,Values frozen
2026-08-28T19:00:56.596467,AWS_015,drift,Temperature drifted by 1.65
2026-08-28T19:01:01.632708,AWS_002,dropout,Reading dropped
2026-08-28T19:01:01.648500,AWS_005,frozen_value,Values frozen
2026-08-28T19:01:01.701275,AWS_010,dropout,Reading dropped
2026-08-28T19:01:01.743884,AWS_013,drift,Temperature drifted by 1.17
2026-08-28T19:01:01.750550,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:01.757805,AWS_015,drift,Temperature drifted by 2.05
2026-08-28T19:01:06.766930,AWS_005,frozen_value,Values frozen
2026-08-28T19:01:06.779519,AWS_013,drift,Temperature drifted by 1.36
2026-08-28T19:01:06.781841,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:06.783876,AWS_015,drift,Temperature drifted by 2.16
2026-08-28T19:01:11.794949,AWS_005,frozen_value,Values frozen
2026-08-28T19:01:11.820078,AWS_013,drift,Temperature drifted by 1.56
2026-08-28T19:01:11.827754,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:11.835133,AWS_015,drift,Temperature drifted by 2.43
2026-08-28T19:01:16.901041,AWS_013,drift,Temperature drifted by 1.89
2026-08-28T19:01:16.906983,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:16.910503,AWS_015,drift,Temperature drifted by 2.64
2026-08-28T19:01:21.920333,AWS_003,drift,Temperature drifted by 0.17
2026-08-28T19:01:22.065391,AWS_013,drift,Temperature drifted by 2.24
2026-08-28T19:01:22.085554,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:22.111738,AWS_015,drift,Temperature drifted by 2.78
2026-08-28T19:01:27.146449,AWS_003,drift,Temperature drifted by 0.46
2026-08-28T19:01:27.285538,AWS_013,drift,Temperature drifted by 2.65
2026-08-28T19:01:27.304543,AWS_014,frozen_value,Values frozen
2026-08-28T19:01:27.313248,AWS_015,drift,Temperature drifted by 3.00
2026-08-28T19:01:32.338972,AWS_003,drift,Temperature drifted by 0.85
2026-08-28T19:01:32.341192,AWS_010,dropout,Reading dropped
2026-08-28T19:01:32.343110,AWS_013,drift,Temperature drifted by 3.03
2026-08-28T19:01:32.344790,AWS_015,drift,Temperature drifted by 3.44
2026-08-28T19:08:28.644211,AWS_007,dropout,Reading dropped
2026-08-28T19:08:33.718792,AWS_007,dropout,Reading dropped
2026-08-28T19:08:58.989470,AWS_010,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:09:04.000404,AWS_015,frozen_value,Values frozen
2026-08-28T19:09:09.039763,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:09.135674,AWS_015,frozen_value,Values frozen
2026-08-28T19:09:14.163603,AWS_001,dropout,Reading dropped
2026-08-28T19:09:14.266068,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:14.274392,AWS_015,frozen_value,Values frozen
2026-08-28T19:09:19.277020,AWS_001,dropout,Reading dropped
2026-08-28T19:09:19.306134,AWS_005,spike,pressure spiked by 71.08
2026-08-28T19:09:19.315146,AWS_007,drift,Temperature drifted by 0.35
2026-08-28T19:09:19.329268,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:19.342532,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:19.359337,AWS_015,frozen_value,Values frozen
2026-08-28T19:09:24.392507,AWS_007,drift,Temperature drifted by 0.61
2026-08-28T19:09:24.440399,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:24.474265,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:24.479615,AWS_015,frozen_value,Values frozen
2026-08-28T19:09:29.507578,AWS_006,drift,Temperature drifted by 0.48
2026-08-28T19:09:29.524686,AWS_007,drift,Temperature drifted by 0.94
2026-08-28T19:09:29.541301,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:29.548031,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:34.597992,AWS_006,drift,Temperature drifted by 0.97
2026-08-28T19:09:34.613937,AWS_007,drift,Temperature drifted by 1.07
2026-08-28T19:09:34.724752,AWS_010,frozen_value,Values frozen
2026-08-28T19:09:34.757997,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:39.849125,AWS_006,drift,Temperature drifted by 1.31
2026-08-28T19:09:39.852654,AWS_007,drift,Temperature drifted by 1.46
2026-08-28T19:09:39.876560,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:44.913752,AWS_006,drift,Temperature drifted by 1.78
2026-08-28T19:09:44.920689,AWS_007,drift,Temperature drifted by 1.72
2026-08-28T19:09:44.927383,AWS_008,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:09:44.936096,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:49.989940,AWS_006,drift,Temperature drifted by 1.88
2026-08-28T19:09:49.996259,AWS_007,drift,Temperature drifted by 2.15
2026-08-28T19:09:50.002378,AWS_012,frozen_value,Values frozen
2026-08-28T19:09:55.037639,AWS_006,drift,Temperature drifted by 2.26
2026-08-28T19:09:55.044039,AWS_007,drift,Temperature drifted by 2.49
2026-08-28T19:09:55.060914,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:00.088129,AWS_001,drift,Temperature drifted by 0.26
2026-08-28T19:10:00.170620,AWS_006,spatial_outlier,Deviating from spatial trend
2026-08-28T19:10:00.185868,AWS_007,drift,Temperature drifted by 2.62
2026-08-28T19:10:00.218987,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:05.239629,AWS_001,drift,Temperature drifted by 0.75
2026-08-28T19:10:05.324942,AWS_007,drift,Temperature drifted by 2.90
2026-08-28T19:10:05.347308,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:10.367594,AWS_001,drift,Temperature drifted by 0.96
2026-08-28T19:10:10.374960,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:10.383516,AWS_007,drift,Temperature drifted by 3.33
2026-08-28T19:10:10.420051,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:15.433121,AWS_001,drift,Temperature drifted by 1.12
2026-08-28T19:10:15.443162,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:15.499913,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:20.544458,AWS_001,drift,Temperature drifted by 1.51
2026-08-28T19:10:20.559556,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:20.580477,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:25.613374,AWS_001,drift,Temperature drifted by 1.96
2026-08-28T19:10:25.620227,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:25.622472,AWS_006,frozen_value,Values frozen
2026-08-28T19:10:25.629794,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:30.645144,AWS_001,drift,Temperature drifted by 2.22
2026-08-28T19:10:30.715793,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:30.725225,AWS_006,frozen_value,Values frozen
2026-08-28T19:10:30.737603,AWS_009,dropout,Reading dropped
2026-08-28T19:10:30.744739,AWS_012,frozen_value,Values frozen
2026-08-28T19:10:40.057288,AWS_001,drift,Temperature drifted by 2.44
2026-08-28T19:10:40.374235,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:40.910327,AWS_006,frozen_value,Values frozen
2026-08-28T19:10:41.032295,AWS_009,dropout,Reading dropped
2026-08-28T19:10:41.049468,AWS_010,dropout,Reading dropped
2026-08-28T19:10:46.129548,AWS_001,drift,Temperature drifted by 2.88
2026-08-28T19:10:46.274717,AWS_005,frozen_value,Values frozen
2026-08-28T19:10:46.337924,AWS_006,frozen_value,Values frozen
2026-08-28T19:10:46.399047,AWS_007,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T19:10:46.556543,AWS_009,dropout,Reading dropped
2026-08-28T19:10:46.597248,AWS_010,dropout,Reading dropped
2026-08-29T00:42:18.932837,AWS_DEL,spike,temperature spiked by 12.73
2026-08-29T00:42:21.022823,AWS_LKO,cross_parameter_inconsistency,Physically inconsistent state
2026-08-29T00:42:23.069099,AWS_STV,drift,Temperature drifted by 0.44
2026-08-29T00:42:25.116753,AWS_MAA,dropout,Reading dropped
2026-08-29T00:42:25.122836,AWS_STV,drift,Temperature drifted by 0.77
2026-08-29T00:42:25.127727,AWS_KNP,drift,Temperature drifted by 0.18
2026-08-29T00:42:27.227735,AWS_STV,drift,Temperature drifted by 0.89
2026-08-29T00:42:27.242423,AWS_KNP,drift,Temperature drifted by 0.61
2026-08-29T00:42:29.332278,AWS_STV,drift,Temperature drifted by 1.36
2026-08-29T00:42:29.363094,AWS_KNP,drift,Temperature drifted by 0.77
2026-08-29T00:42:31.400229,AWS_STV,drift,Temperature drifted by 1.64
2026-08-29T00:42:31.412350,AWS_KNP,drift,Temperature drifted by 1.20
2026-08-29T00:42:33.439105,AWS_STV,drift,Temperature drifted by 1.88
2026-08-29T00:42:33.444646,AWS_KNP,drift,Temperature drifted by 1.36
2026-08-29T00:42:35.477594,AWS_STV,drift,Temperature drifted by 2.16
2026-08-29T00:42:35.488371,AWS_KNP,drift,Temperature drifted by 1.59
2026-08-29T00:42:37.502173,AWS_STV,drift,Temperature drifted by 2.41
2026-08-29T00:42:37.509880,AWS_JAI,spike,humidity spiked by -10.60
2026-08-29T00:42:37.514587,AWS_KNP,drift,Temperature drifted by 1.79
2026-08-29T00:42:37.525722,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:39.540135,AWS_BLR,dropout,Reading dropped
2026-08-29T00:42:39.557489,AWS_STV,drift,Temperature drifted by 2.63
2026-08-29T00:42:39.569457,AWS_KNP,drift,Temperature drifted by 2.22
2026-08-29T00:42:39.580113,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:41.595143,AWS_BLR,spatial_outlier,Deviating from spatial trend
2026-08-29T00:42:41.605350,AWS_STV,drift,Temperature drifted by 2.84
2026-08-29T00:42:41.614640,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:43.628880,AWS_STV,drift,Temperature drifted by 2.99
2026-08-29T00:42:43.639317,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:45.665232,AWS_STV,drift,Temperature drifted by 3.15
2026-08-29T00:42:45.677342,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:47.699669,AWS_PNQ,drift,Temperature drifted by 0.31
2026-08-29T00:42:47.711827,AWS_STV,drift,Temperature drifted by 3.39
2026-08-29T00:42:47.732207,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:49.767055,AWS_PNQ,drift,Temperature drifted by 0.74
2026-08-29T00:42:49.779384,AWS_STV,drift,Temperature drifted by 3.86
2026-08-29T00:42:49.799528,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:51.816721,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:42:51.821012,AWS_PNQ,drift,Temperature drifted by 0.98
2026-08-29T00:42:51.825813,AWS_STV,drift,Temperature drifted by 4.32
2026-08-29T00:42:51.831103,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:51.832827,AWS_BHO,dropout,Reading dropped
2026-08-29T00:42:53.865317,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:42:53.871235,AWS_PNQ,drift,Temperature drifted by 1.10
2026-08-29T00:42:53.894987,AWS_IDR,frozen_value,Values frozen
2026-08-29T00:42:55.905851,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:42:55.913072,AWS_PNQ,drift,Temperature drifted by 1.56
2026-08-29T00:42:57.972998,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:42:57.981666,AWS_PNQ,drift,Temperature drifted by 1.86
2026-08-29T00:42:58.000514,AWS_NAG,drift,Temperature drifted by 0.36
2026-08-29T00:43:00.065447,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:00.075159,AWS_PNQ,drift,Temperature drifted by 1.96
2026-08-29T00:43:00.086925,AWS_NAG,drift,Temperature drifted by 0.62
2026-08-29T00:43:02.098804,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:02.102752,AWS_CCU,spatial_outlier,Deviating from spatial trend
2026-08-29T00:43:02.110229,AWS_PNQ,drift,Temperature drifted by 2.34
2026-08-29T00:43:02.126627,AWS_NAG,drift,Temperature drifted by 0.91
2026-08-29T00:43:04.135019,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:04.143422,AWS_NAG,drift,Temperature drifted by 1.17
2026-08-29T00:43:06.154914,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:06.163986,AWS_NAG,drift,Temperature drifted by 1.47
2026-08-29T00:43:08.191067,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:08.207821,AWS_NAG,drift,Temperature drifted by 1.72
2026-08-29T00:43:10.232027,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:10.247699,AWS_NAG,drift,Temperature drifted by 1.95
2026-08-29T00:43:12.268316,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:12.287012,AWS_NAG,drift,Temperature drifted by 2.09
2026-08-29T00:43:14.310334,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:14.327819,AWS_STV,dropout,Reading dropped
2026-08-29T00:43:14.344364,AWS_NAG,drift,Temperature drifted by 2.23
2026-08-29T00:43:16.388180,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:16.404621,AWS_STV,dropout,Reading dropped
2026-08-29T00:43:18.443252,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:20.498614,AWS_MAA,frozen_value,Values frozen
2026-08-29T00:43:22.525409,AWS_LKO,drift,Temperature drifted by 0.35
2026-08-29T00:43:24.548322,AWS_LKO,drift,Temperature drifted by 0.65
2026-08-29T00:43:24.553598,AWS_BHO,drift,Temperature drifted by 0.13
2026-08-29T00:43:26.575068,AWS_LKO,drift,Temperature drifted by 1.06
2026-08-29T00:43:26.582154,AWS_BHO,drift,Temperature drifted by 0.37
2026-08-29T00:43:28.595725,AWS_LKO,drift,Temperature drifted by 1.24
2026-08-29T00:43:28.603136,AWS_BHO,drift,Temperature drifted by 0.76
2026-08-29T00:43:30.624745,AWS_LKO,drift,Temperature drifted by 1.71
2026-08-29T00:43:30.631957,AWS_BHO,drift,Temperature drifted by 0.99
2026-08-29T00:43:32.663355,AWS_LKO,drift,Temperature drifted by 2.20
2026-08-29T00:43:32.678558,AWS_BHO,drift,Temperature drifted by 1.33
2026-08-29T00:43:34.689542,AWS_BLR,spatial_outlier,Deviating from spatial trend
2026-08-29T00:43:34.718752,AWS_LKO,drift,Temperature drifted by 2.54
2026-08-29T00:43:34.755319,AWS_BHO,drift,Temperature drifted by 1.64
2026-08-29T00:43:36.780054,AWS_LKO,drift,Temperature drifted by 2.80
2026-08-29T00:43:36.785325,AWS_BHO,drift,Temperature drifted by 1.84
2026-08-29T00:43:38.813708,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:38.822797,AWS_LKO,drift,Temperature drifted by 3.20
2026-08-29T00:43:38.839719,AWS_BHO,drift,Temperature drifted by 2.32
2026-08-29T00:43:40.853373,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:40.856736,AWS_LKO,drift,Temperature drifted by 3.44
2026-08-29T00:43:40.864352,AWS_BHO,drift,Temperature drifted by 2.61
2026-08-29T00:43:42.867743,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:42.885477,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:42.888692,AWS_LKO,drift,Temperature drifted by 3.84
2026-08-29T00:43:42.893983,AWS_BHO,drift,Temperature drifted by 2.91
2026-08-29T00:43:44.897340,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:44.909239,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:44.914958,AWS_BHO,drift,Temperature drifted by 3.23
2026-08-29T00:43:46.922562,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:46.939916,AWS_HYD,frozen_value,Values frozen
2026-08-29T00:43:46.958534,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:48.999369,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:49.013574,AWS_HYD,frozen_value,Values frozen
2026-08-29T00:43:49.042141,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:49.046297,AWS_LKO,dropout,Reading dropped
2026-08-29T00:43:49.047632,AWS_KNP,dropout,Reading dropped
2026-08-29T00:43:51.056874,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:51.075234,AWS_HYD,frozen_value,Values frozen
2026-08-29T00:43:51.099142,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:51.102811,AWS_LKO,dropout,Reading dropped
2026-08-29T00:43:51.105165,AWS_KNP,dropout,Reading dropped
2026-08-29T00:43:51.110357,AWS_IDR,dropout,Reading dropped
2026-08-29T00:43:51.111826,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:43:53.117104,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:53.120962,AWS_BLR,spike,pressure spiked by 77.30
2026-08-29T00:43:53.123755,AWS_HYD,frozen_value,Values frozen
2026-08-29T00:43:53.134105,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:53.136217,AWS_LKO,dropout,Reading dropped
2026-08-29T00:43:53.138441,AWS_KNP,dropout,Reading dropped
2026-08-29T00:43:53.141455,AWS_IDR,dropout,Reading dropped
2026-08-29T00:43:53.143640,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:43:55.148425,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:55.151031,AWS_DEL,dropout,Reading dropped
2026-08-29T00:43:55.155466,AWS_HYD,frozen_value,Values frozen
2026-08-29T00:43:55.250892,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:55.279784,AWS_IDR,dropout,Reading dropped
2026-08-29T00:43:55.281051,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:43:57.287416,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:57.345553,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:57.362006,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:43:59.367236,AWS_MUM,frozen_value,Values frozen
2026-08-29T00:43:59.382049,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:43:59.393477,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:44:01.402740,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:44:01.410509,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:44:03.422883,AWS_JAI,frozen_value,Values frozen
2026-08-29T00:44:03.435650,AWS_LKO,dropout,Reading dropped
2026-08-29T00:44:03.464944,AWS_BHO,frozen_value,Values frozen
2026-08-29T00:44:05.511475,AWS_LKO,dropout,Reading dropped
2026-08-29T00:44:05.529657,AWS_BHO,frozen_value,Values frozen
